"year","inc","model","metric"
0,1.30412637596546,"IBM","Clinical incidence
(per person-year)"
0.0821917808219178,0.449685151948407,"IBM","Clinical incidence
(per person-year)"
0.164383561643836,0.0111040126555322,"IBM","Clinical incidence
(per person-year)"
0.246575342465753,0,"IBM","Clinical incidence
(per person-year)"
0.328767123287671,0.150925769943489,"IBM","Clinical incidence
(per person-year)"
0.410958904109589,1.0331671897114,"IBM","Clinical incidence
(per person-year)"
0.493150684931507,1.38981437410757,"IBM","Clinical incidence
(per person-year)"
0.575342465753425,1.82384957180855,"IBM","Clinical incidence
(per person-year)"
0.657534246575342,2.55323237758475,"IBM","Clinical incidence
(per person-year)"
0.73972602739726,3.7673434856176,"IBM","Clinical incidence
(per person-year)"
0.821917808219178,3.2739448301284,"IBM","Clinical incidence
(per person-year)"
0.904109589041096,1.79212569429527,"IBM","Clinical incidence
(per person-year)"
0.986301369863014,0.218254576676582,"IBM","Clinical incidence
(per person-year)"
1.06849315068493,0.0111891113086662,"IBM","Clinical incidence
(per person-year)"
1.15068493150685,0.00557226386577714,"IBM","Clinical incidence
(per person-year)"
1.23287671232877,0.00556410920898184,"IBM","Clinical incidence
(per person-year)"
1.31506849315068,0.105305515063168,"IBM","Clinical incidence
(per person-year)"
1.3972602739726,0.766806722689076,"IBM","Clinical incidence
(per person-year)"
1.47945205479452,1.19333893514628,"IBM","Clinical incidence
(per person-year)"
1.56164383561644,1.7878189527177,"IBM","Clinical incidence
(per person-year)"
1.64383561643836,2.5088230308074,"IBM","Clinical incidence
(per person-year)"
1.72602739726027,3.88453363725973,"IBM","Clinical incidence
(per person-year)"
1.80821917808219,3.83558367409922,"IBM","Clinical incidence
(per person-year)"
1.89041095890411,2.27532174235862,"IBM","Clinical incidence
(per person-year)"
1.97260273972603,0.339051275699777,"IBM","Clinical incidence
(per person-year)"
2.05479452054795,0.0337317478898404,"IBM","Clinical incidence
(per person-year)"
2.13698630136986,0.00560065059612404,"IBM","Clinical incidence
(per person-year)"
2.21917808219178,0,"IBM","Clinical incidence
(per person-year)"
2.3013698630137,0.0167703004870279,"IBM","Clinical incidence
(per person-year)"
2.38356164383562,0.635496594866106,"IBM","Clinical incidence
(per person-year)"
2.46575342465753,1.3375545041284,"IBM","Clinical incidence
(per person-year)"
2.54794520547945,1.81037555992994,"IBM","Clinical incidence
(per person-year)"
2.63013698630137,2.27453108045264,"IBM","Clinical incidence
(per person-year)"
2.71232876712329,3.76682279469165,"IBM","Clinical incidence
(per person-year)"
2.79452054794521,3.94031162228743,"IBM","Clinical incidence
(per person-year)"
2.87671232876712,2.5713058419244,"IBM","Clinical incidence
(per person-year)"
2.95890410958904,0.68787477610778,"IBM","Clinical incidence
(per person-year)"
3.04109589041096,0.0511753984203393,"IBM","Clinical incidence
(per person-year)"
3.12328767123288,0.0113419200472321,"IBM","Clinical incidence
(per person-year)"
3.20547945205479,0.00567210567210567,"IBM","Clinical incidence
(per person-year)"
3.28767123287671,0.0170004657661854,"IBM","Clinical incidence
(per person-year)"
3.36986301369863,0.668778435117467,"IBM","Clinical incidence
(per person-year)"
3.45205479452055,1.16666146937757,"IBM","Clinical incidence
(per person-year)"
3.53424657534247,1.65898760973787,"IBM","Clinical incidence
(per person-year)"
3.61643835616438,2.33668224299065,"IBM","Clinical incidence
(per person-year)"
3.6986301369863,3.50322781364237,"IBM","Clinical incidence
(per person-year)"
3.78082191780822,4.2018812298189,"IBM","Clinical incidence
(per person-year)"
3.86301369863014,3.15940645201684,"IBM","Clinical incidence
(per person-year)"
3.94520547945205,0.874655431650169,"IBM","Clinical incidence
(per person-year)"
4.02739726027397,0.0687835673230943,"IBM","Clinical incidence
(per person-year)"
4.10958904109589,0.00571992728640381,"IBM","Clinical incidence
(per person-year)"
4.19178082191781,0.00573664853990507,"IBM","Clinical incidence
(per person-year)"
4.27397260273973,0.0171224844021204,"IBM","Clinical incidence
(per person-year)"
4.35616438356164,0.462061420645464,"IBM","Clinical incidence
(per person-year)"
4.43835616438356,1.11543429633597,"IBM","Clinical incidence
(per person-year)"
4.52054794520548,1.66034439337657,"IBM","Clinical incidence
(per person-year)"
4.6027397260274,2.31561796514648,"IBM","Clinical incidence
(per person-year)"
4.68493150684932,3.41929827332902,"IBM","Clinical incidence
(per person-year)"
4.76712328767123,4.3135210288495,"IBM","Clinical incidence
(per person-year)"
4.84931506849315,3.28036956590172,"IBM","Clinical incidence
(per person-year)"
4.93150684931507,1.25951311746632,"IBM","Clinical incidence
(per person-year)"
