"year","inc","model","metric"
0,1.26927555387714,"IBM","Clinical incidence
(per person-year)"
0.0821917808219178,0.350790124623844,"IBM","Clinical incidence
(per person-year)"
0.164383561643836,0.0172177932921364,"IBM","Clinical incidence
(per person-year)"
0.246575342465753,0.0114696917323948,"IBM","Clinical incidence
(per person-year)"
0.328767123287671,0.171192720791708,"IBM","Clinical incidence
(per person-year)"
0.410958904109589,0.776812900018642,"IBM","Clinical incidence
(per person-year)"
0.493150684931507,1.06478392427651,"IBM","Clinical incidence
(per person-year)"
0.575342465753425,1.4737169034863,"IBM","Clinical incidence
(per person-year)"
0.657534246575342,2.22588674548849,"IBM","Clinical incidence
(per person-year)"
0.73972602739726,2.69047324083251,"IBM","Clinical incidence
(per person-year)"
0.821917808219178,2.52085844071568,"IBM","Clinical incidence
(per person-year)"
0.904109589041096,1.3333231010084,"IBM","Clinical incidence
(per person-year)"
0.986301369863014,0.268062058202515,"IBM","Clinical incidence
(per person-year)"
1.06849315068493,0.0112093851729009,"IBM","Clinical incidence
(per person-year)"
1.15068493150685,0.0112369927960101,"IBM","Clinical incidence
(per person-year)"
1.23287671232877,0.00560908518125797,"IBM","Clinical incidence
(per person-year)"
1.31506849315068,0.089779854876399,"IBM","Clinical incidence
(per person-year)"
1.3972602739726,0.615552080458713,"IBM","Clinical incidence
(per person-year)"
1.47945205479452,0.949415508905074,"IBM","Clinical incidence
(per person-year)"
1.56164383561644,1.21703884980116,"IBM","Clinical incidence
(per person-year)"
1.64383561643836,1.90684234858992,"IBM","Clinical incidence
(per person-year)"
1.72602739726027,2.78470728423529,"IBM","Clinical incidence
(per person-year)"
1.80821917808219,2.78316302904949,"IBM","Clinical incidence
(per person-year)"
1.89041095890411,1.62344983089064,"IBM","Clinical incidence
(per person-year)"
1.97260273972603,0.384222421746803,"IBM","Clinical incidence
(per person-year)"
2.05479452054795,0.00564936773514526,"IBM","Clinical incidence
(per person-year)"
2.13698630136986,0,"IBM","Clinical incidence
(per person-year)"
2.21917808219178,0,"IBM","Clinical incidence
(per person-year)"
2.3013698630137,0.0340675751353369,"IBM","Clinical incidence
(per person-year)"
2.38356164383562,0.551771966461989,"IBM","Clinical incidence
(per person-year)"
2.46575342465753,1.06353980637278,"IBM","Clinical incidence
(per person-year)"
2.54794520547945,1.27823898191142,"IBM","Clinical incidence
(per person-year)"
2.63013698630137,1.89829363333543,"IBM","Clinical incidence
(per person-year)"
2.71232876712329,2.78121506950676,"IBM","Clinical incidence
(per person-year)"
2.79452054794521,2.8821077467558,"IBM","Clinical incidence
(per person-year)"
2.87671232876712,2.13131138252329,"IBM","Clinical incidence
(per person-year)"
2.95890410958904,0.443954759422488,"IBM","Clinical incidence
(per person-year)"
3.04109589041096,0.0172972119105916,"IBM","Clinical incidence
(per person-year)"
3.12328767123288,0.0114819591682658,"IBM","Clinical incidence
(per person-year)"
3.20547945205479,0,"IBM","Clinical incidence
(per person-year)"
3.28767123287671,0.0115369419201896,"IBM","Clinical incidence
(per person-year)"
3.36986301369863,0.561431606989946,"IBM","Clinical incidence
(per person-year)"
3.45205479452055,0.962861728669728,"IBM","Clinical incidence
(per person-year)"
3.53424657534247,1.24608984232339,"IBM","Clinical incidence
(per person-year)"
3.61643835616438,1.73481835897273,"IBM","Clinical incidence
(per person-year)"
3.6986301369863,2.51934862269396,"IBM","Clinical incidence
(per person-year)"
3.78082191780822,2.99147192380109,"IBM","Clinical incidence
(per person-year)"
3.86301369863014,2.09459996502774,"IBM","Clinical incidence
(per person-year)"
3.94520547945205,0.790332595647121,"IBM","Clinical incidence
(per person-year)"
4.02739726027397,0.0289820549468001,"IBM","Clinical incidence
(per person-year)"
4.10958904109589,0,"IBM","Clinical incidence
(per person-year)"
4.19178082191781,0,"IBM","Clinical incidence
(per person-year)"
4.27397260273973,0.00581766018489002,"IBM","Clinical incidence
(per person-year)"
4.35616438356164,0.325539912085112,"IBM","Clinical incidence
(per person-year)"
4.43835616438356,0.928767951144261,"IBM","Clinical incidence
(per person-year)"
4.52054794520548,1.31568962246253,"IBM","Clinical incidence
(per person-year)"
4.6027397260274,1.67436453325793,"IBM","Clinical incidence
(per person-year)"
4.68493150684932,2.55662589916734,"IBM","Clinical incidence
(per person-year)"
4.76712328767123,2.83516362318612,"IBM","Clinical incidence
(per person-year)"
4.84931506849315,2.58844940929131,"IBM","Clinical incidence
(per person-year)"
4.93150684931507,0.918676817734144,"IBM","Clinical incidence
(per person-year)"
5.01369863013699,0.114223126271319,"IBM","Clinical incidence
(per person-year)"
5.0958904109589,0,"IBM","Clinical incidence
(per person-year)"
5.17808219178082,0,"IBM","Clinical incidence
(per person-year)"
5.26027397260274,0.00574323792739918,"IBM","Clinical incidence
(per person-year)"
5.34246575342466,0.24127673638982,"IBM","Clinical incidence
(per person-year)"
5.42465753424658,0.846814286390682,"IBM","Clinical incidence
(per person-year)"
5.50684931506849,1.25191648094583,"IBM","Clinical incidence
(per person-year)"
5.58904109589041,1.68027747122813,"IBM","Clinical incidence
(per person-year)"
5.67123287671233,2.36473674230453,"IBM","Clinical incidence
(per person-year)"
5.75342465753425,3.21297720820314,"IBM","Clinical incidence
(per person-year)"
5.83561643835616,2.69484135824078,"IBM","Clinical incidence
(per person-year)"
5.91780821917808,1.15519253208868,"IBM","Clinical incidence
(per person-year)"
6,0.122712645886365,"IBM","Clinical incidence
(per person-year)"
6.08219178082192,0.00584149542282824,"IBM","Clinical incidence
(per person-year)"
6.16438356164384,0.00582165015869978,"IBM","Clinical incidence
(per person-year)"
6.24657534246575,0,"IBM","Clinical incidence
(per person-year)"
6.32876712328767,0.192979364265573,"IBM","Clinical incidence
(per person-year)"
6.41095890410959,0.850761143885933,"IBM","Clinical incidence
(per person-year)"
6.49315068493151,1.28427780557483,"IBM","Clinical incidence
(per person-year)"
6.57534246575342,1.66795846856884,"IBM","Clinical incidence
(per person-year)"
6.65753424657534,2.3825833279608,"IBM","Clinical incidence
(per person-year)"
6.73972602739726,2.797565374211,"IBM","Clinical incidence
(per person-year)"
6.82191780821918,3.00554890477885,"IBM","Clinical incidence
(per person-year)"
6.9041095890411,1.42069221700018,"IBM","Clinical incidence
(per person-year)"
6.98630136986301,0.170563496027973,"IBM","Clinical incidence
(per person-year)"
7.06849315068493,0.0176721216229302,"IBM","Clinical incidence
(per person-year)"
7.15068493150685,0,"IBM","Clinical incidence
(per person-year)"
7.23287671232877,0.00590385610766046,"IBM","Clinical incidence
(per person-year)"
7.31506849315068,0.0827610779994817,"IBM","Clinical incidence
(per person-year)"
7.3972602739726,0.734454108788784,"IBM","Clinical incidence
(per person-year)"
