"scenario","model","rep","age_lo","age_hi","age_mid","pop_frac","prev","clin","sev"
"eir_20","blink",0,0,1,0.5,NA,0.288019788167863,1.08591257058718,52.675773581316
"eir_20","blink",0,1,2,1.5,NA,0.440502458374839,1.85220323767091,60.9730948657633
"eir_20","blink",0,2,3,2.5,NA,0.492549956619447,1.79417031366187,38.6732037378559
"eir_20","blink",0,3,5,4,NA,0.535928022917879,1.52119324548679,17.442865817864
"eir_20","blink",0,5,7,6,NA,0.565516200425176,1.18670435868433,5.8961003567908
"eir_20","blink",0,7,10,8.5,NA,0.570865166297045,0.925895063984602,2.55359475734057
"eir_20","blink",0,10,15,12.5,NA,0.50625608507521,0.601619035644501,1.08008819604926
"eir_20","blink",0,15,20,17.5,NA,0.353718961237663,0.349602645196006,0.483411343464248
"eir_20","blink",0,20,30,25,NA,0.247233802348689,0.259271787092412,0.323873936333642
"eir_20","blink",0,30,40,35,NA,0.208398579128868,0.190871499601464,0.225454067677588
"eir_20","blink",0,40,60,50,NA,0.19870853970976,0.145108395349144,0.171775863085901
"eir_20","blink",0,60,85,72.5,NA,0.195309104841457,0.105692610775656,0.132669611295584
"eir_20","IBM",1,0,1,0.5,NA,0.285783662650884,1.08134543333977,57.6622647139706
"eir_20","IBM",1,1,2,1.5,NA,0.444480465871152,1.8932861877741,63.9425071181471
"eir_20","IBM",1,2,3,2.5,NA,0.491919099781911,1.78651538646522,35.5638386971051
"eir_20","IBM",1,3,5,4,NA,0.547301889129554,1.49970930459634,19.1434919380847
"eir_20","IBM",1,5,7,6,NA,0.560268602623803,1.2064958862604,9.73354345427139
"eir_20","IBM",1,7,10,8.5,NA,0.566443533619538,0.943799435593437,1.73876093513898
"eir_20","IBM",1,10,15,12.5,NA,0.505309426020399,0.585694238699192,0.999904803583768
"eir_20","IBM",1,15,20,17.5,NA,0.360344444937636,0.360965866216876,0.648053619778952
"eir_20","IBM",1,20,30,25,NA,0.24832580561239,0.244951153752748,0.225553548575274
"eir_20","IBM",1,30,40,35,NA,0.202510621699724,0.167629924463253,0.382716722518842
"eir_20","IBM",1,40,60,50,NA,0.195995909215742,0.120438345158897,0.374032127822662
"eir_20","IBM",1,60,85,72.5,NA,0.192735803381601,0.0802481119123188,0
"eir_20","IBM",2,0,1,0.5,NA,0.29272504296396,1.11382270547847,54.6431838037152
"eir_20","IBM",2,1,2,1.5,NA,0.462208754434388,1.88569854958347,51.9770982455112
"eir_20","IBM",2,2,3,2.5,NA,0.505127542415574,1.83397801793435,43.1712349470161
"eir_20","IBM",2,3,5,4,NA,0.537640023387886,1.4943238064363,19.8623356624734
"eir_20","IBM",2,5,7,6,NA,0.561388481565621,1.20763429629241,6.99942598314768
"eir_20","IBM",2,7,10,8.5,NA,0.562024929235511,0.926453334159403,1.76669209412548
"eir_20","IBM",2,10,15,12.5,NA,0.4999478594401,0.576736746801988,1.5124215388164
"eir_20","IBM",2,15,20,17.5,NA,0.354544316409408,0.354145257458229,0
"eir_20","IBM",2,20,30,25,NA,0.246689583819217,0.239305811247351,1.13200478357309
"eir_20","IBM",2,30,40,35,NA,0.208646520843982,0.157208081408728,0
"eir_20","IBM",2,40,60,50,NA,0.199842576860514,0.134953178051098,0
"eir_20","IBM",2,60,85,72.5,NA,0.196990151790505,0.0979195873790609,0
"eir_20","IBM",3,0,1,0.5,NA,0.301272578411652,1.13780032951593,62.7192140135243
"eir_20","IBM",3,1,2,1.5,NA,0.439263394146607,1.84066950942153,49.1990577401596
"eir_20","IBM",3,2,3,2.5,NA,0.488830046931837,1.7403046390823,40.9389006426187
"eir_20","IBM",3,3,5,4,NA,0.546445470505167,1.50581743724398,22.1694526434561
"eir_20","IBM",3,5,7,6,NA,0.560732115190714,1.16556205887416,9.87384108403217
"eir_20","IBM",3,7,10,8.5,NA,0.566530220752617,0.93480581215579,4.01635150228052
"eir_20","IBM",3,10,15,12.5,NA,0.505518031429527,0.618662487027239,1.55247801010599
"eir_20","IBM",3,15,20,17.5,NA,0.351588344269837,0.39013667860323,0.638521568908723
"eir_20","IBM",3,20,30,25,NA,0.243785937077268,0.273095354340748,0
"eir_20","IBM",3,30,40,35,NA,0.201590733590734,0.181090733590734,0
"eir_20","IBM",3,40,60,50,NA,0.199614984729352,0.130079724153616,0.370597504711157
"eir_20","IBM",3,60,85,72.5,NA,0.189473510371251,0.102473906724799,0
"eir_20","IBM",4,0,1,0.5,NA,0.288498742783811,1.10400202546129,55.7291757261607
"eir_20","IBM",4,1,2,1.5,NA,0.430084614142117,1.70973994508157,53.6655774097221
"eir_20","IBM",4,2,3,2.5,NA,0.491994405224727,1.75668234231655,35.3748389299442
"eir_20","IBM",4,3,5,4,NA,0.531444971010488,1.43398819986393,19.4927473976776
"eir_20","IBM",4,5,7,6,NA,0.563550067732118,1.18428162486711,8.25602991774129
"eir_20","IBM",4,7,10,8.5,NA,0.565097276940215,0.916296777601401,3.6691898629834
"eir_20","IBM",4,10,15,12.5,NA,0.499577140093272,0.615286206753452,0.783471400789625
"eir_20","IBM",4,15,20,17.5,NA,0.360752296614347,0.359175351516283,0
"eir_20","IBM",4,20,30,25,NA,0.246792744285668,0.238903228353646,0.225167981483172
"eir_20","IBM",4,30,40,35,NA,0.204002755019252,0.175408729286283,0.355078399364945
"eir_20","IBM",4,40,60,50,NA,0.195148696270721,0.130561460649653,0
"eir_20","IBM",4,60,85,72.5,NA,0.19586574762613,0.0861242992792587,0
"eir_20","IBM",5,0,1,0.5,NA,0.281086044827301,1.03357917203778,49.7856996029055
"eir_20","IBM",5,1,2,1.5,NA,0.415456792107854,1.76959474392719,52.801832392357
"eir_20","IBM",5,2,3,2.5,NA,0.50480336491496,1.82173799905298,43.5971486952849
"eir_20","IBM",5,3,5,4,NA,0.54339618881444,1.50285750346532,17.3764110376469
"eir_20","IBM",5,5,7,6,NA,0.562039824363329,1.22044682504372,6.78528627711481
"eir_20","IBM",5,7,10,8.5,NA,0.576387408039237,0.974308104732457,2.432295553897
"eir_20","IBM",5,10,15,12.5,NA,0.50996997192474,0.609476532252587,0.258252767903639
"eir_20","IBM",5,15,20,17.5,NA,0.360902400528557,0.38919578622816,1.33974453090589
"eir_20","IBM",5,20,30,25,NA,0.247206687196206,0.254271930946171,0.229902288378093
"eir_20","IBM",5,30,40,35,NA,0.204030080627168,0.171845067667651,0
"eir_20","IBM",5,40,60,50,NA,0.199084723164792,0.125680401824948,0.365350005305082
"eir_20","IBM",5,60,85,72.5,NA,0.190466997166162,0.08976118078874,0
"eir_20","IBM",6,0,1,0.5,NA,0.27504974472089,1.08448311764434,50.670204069041
"eir_20","IBM",6,1,2,1.5,NA,0.437510128346406,1.86099249692098,56.1920658585597
"eir_20","IBM",6,2,3,2.5,NA,0.488960501962432,1.79511076690163,51.9048931710881
"eir_20","IBM",6,3,5,4,NA,0.533176706682724,1.49167141850091,19.4989727908616
"eir_20","IBM",6,5,7,6,NA,0.570708154639546,1.20763918266278,6.79212138730475
"eir_20","IBM",6,7,10,8.5,NA,0.56169569662856,0.959251329051021,3.13026176992719
"eir_20","IBM",6,10,15,12.5,NA,0.515246146113066,0.606912558214451,1.26704083134541
"eir_20","IBM",6,15,20,17.5,NA,0.358176839362311,0.363017130437807,1.029349141128
"eir_20","IBM",6,20,30,25,NA,0.247559776005531,0.240117543621841,0.453908400041287
"eir_20","IBM",6,30,40,35,NA,0.208834607267352,0.167337227592858,0.360640576708745
"eir_20","IBM",6,40,60,50,NA,0.195401277894814,0.124043461554058,0
"eir_20","IBM",6,60,85,72.5,NA,0.190284814853112,0.0905800847895771,0
"eir_20","IBM",7,0,1,0.5,NA,0.280431262588365,1.06237905295999,56.2181588404881
"eir_20","IBM",7,1,2,1.5,NA,0.447723673139425,1.88708486628281,60.2181050269744
"eir_20","IBM",7,2,3,2.5,NA,0.497921051501224,1.73555689188609,37.6272496885873
"eir_20","IBM",7,3,5,4,NA,0.532580012644426,1.44685332465938,20.0661541703699
"eir_20","IBM",7,5,7,6,NA,0.559667925366504,1.22487858931384,7.37046161302048
"eir_20","IBM",7,7,10,8.5,NA,0.572590898983391,0.964595437518174,4.50907611928668
"eir_20","IBM",7,10,15,12.5,NA,0.506072860082158,0.591698051416407,1.29929304219677
"eir_20","IBM",7,15,20,17.5,NA,0.352915068852415,0.37093807737764,0.613627919565988
"eir_20","IBM",7,20,30,25,NA,0.247994872804137,0.236960283401534,0
"eir_20","IBM",7,30,40,35,NA,0.208236296961848,0.182072787044856,0.731216012228336
"eir_20","IBM",7,40,60,50,NA,0.1903288783355,0.130080850476784,0.762937539453277
"eir_20","IBM",7,60,85,72.5,NA,0.192027652580035,0.108428567774986,0
"eir_20","IBM",8,0,1,0.5,NA,0.297514366045725,1.12640439998656,53.1515687833948
"eir_20","IBM",8,1,2,1.5,NA,0.443413302913998,1.8591838270534,67.9483980338336
"eir_20","IBM",8,2,3,2.5,NA,0.494480655900193,1.6909253493358,38.537368426723
"eir_20","IBM",8,3,5,4,NA,0.539517326341725,1.50553043317677,23.9465812640782
"eir_20","IBM",8,5,7,6,NA,0.575509900290651,1.22249288511222,3.68359438075246
"eir_20","IBM",8,7,10,8.5,NA,0.567750489702437,0.95941939367036,4.59898676906883
"eir_20","IBM",8,10,15,12.5,NA,0.510487287840894,0.558732011161217,1.26926853966655
"eir_20","IBM",8,15,20,17.5,NA,0.358935366582987,0.372828102314045,0.965875912730685
"eir_20","IBM",8,20,30,25,NA,0.248535652591968,0.24805041369972,0.466698802821674
"eir_20","IBM",8,30,40,35,NA,0.204325595341424,0.151562524657945,0
"eir_20","IBM",8,40,60,50,NA,0.197007412569379,0.123585474868033,0
"eir_20","IBM",8,60,85,72.5,NA,0.194536153156479,0.13013026739096,1.54000316439006
"eir_20","IBM",9,0,1,0.5,NA,0.27415334281096,1.09750920173713,42.6493213110285
"eir_20","IBM",9,1,2,1.5,NA,0.442111496665074,1.8012238452428,59.1559831279739
"eir_20","IBM",9,2,3,2.5,NA,0.486804939068679,1.69997111655743,43.4101151514894
"eir_20","IBM",9,3,5,4,NA,0.523443123706806,1.47987164238006,19.715527590164
"eir_20","IBM",9,5,7,6,NA,0.57398079761873,1.23685926414303,8.4049806933897
"eir_20","IBM",9,7,10,8.5,NA,0.577449524811217,0.925458361298433,2.8279858252053
"eir_20","IBM",9,10,15,12.5,NA,0.50648914324971,0.607150750526364,1.74827447704013
"eir_20","IBM",9,15,20,17.5,NA,0.360704483074108,0.390154842660465,0.332612824092468
"eir_20","IBM",9,20,30,25,NA,0.247505769824367,0.234286511332361,0.471401431252236
"eir_20","IBM",9,30,40,35,NA,0.201953660597558,0.168760562482064,0.363708108797551
"eir_20","IBM",9,40,60,50,NA,0.198213481876032,0.120514122198712,0.361904270867004
"eir_20","IBM",9,60,85,72.5,NA,0.198474381764587,0.101021579172386,0
"eir_20","IBM",10,0,1,0.5,NA,0.274445405835781,1.02677610279034,43.7399206242815
"eir_20","IBM",10,1,2,1.5,NA,0.424041506236342,1.69683075335178,58.1371888996727
"eir_20","IBM",10,2,3,2.5,NA,0.469579396061706,1.64453619110557,38.9582666239727
"eir_20","IBM",10,3,5,4,NA,0.528701822962677,1.4449729924686,16.4555249988729
"eir_20","IBM",10,5,7,6,NA,0.555292562319651,1.18779157715433,6.49573518756276
"eir_20","IBM",10,7,10,8.5,NA,0.554269249360673,0.896291675555591,3.28552666992519
"eir_20","IBM",10,10,15,12.5,NA,0.505852464640868,0.587764051813101,0.492058645301885
"eir_20","IBM",10,15,20,17.5,NA,0.356256366065119,0.364622367022201,0.650530538844248
"eir_20","IBM",10,20,30,25,NA,0.244423694476449,0.253165931334354,0.466235600984077
"eir_20","IBM",10,30,40,35,NA,0.202591418717974,0.15730488730028,0.339751376458488
"eir_20","IBM",10,40,60,50,NA,0.193740046488375,0.118514433558216,0
"eir_20","IBM",10,60,85,72.5,NA,0.198553116322698,0.0887920208814112,0
"demography","blink",0,0,1,0.5,0.0180999972302867,0.287565725449337,1.06781771884647,51.54671654448
"demography","blink",0,1,2,1.5,0.0176280511936212,0.440394424131767,1.84625452506205,60.6190411555267
"demography","blink",0,2,3,2.5,0.0175051928105971,0.492298850082945,1.78414665483291,38.3048482057481
"demography","blink",0,3,5,4,0.0346452295415278,0.535728839134722,1.50896183859885,17.144822178491
