"scenario","model","rep","years","elapsed_s"
"eir_1","blink",0,33,7.1
"eir_3","blink",0,33,5.87
"eir_10","blink",0,33,5.38
"eir_20","blink",0,33,5.08
"eir_50","blink",0,33,5.58
"eir_120","blink",0,33,5.49
"seasonal","blink",0,33,8.44
"nets","blink",0,36,5.66
"irs","blink",0,36,5.45
"smc","blink",0,33,8.63999999999999
"pev","blink",0,36,7.77000000000001
"treatment","blink",0,36,5.40000000000001
"eir_20","IBM",1,33,252.04
"eir_20","IBM",2,33,233.74
"eir_20","IBM",3,33,233.66
"eir_20","IBM",4,33,234.19
"eir_20","IBM",5,33,251.85
"eir_20","IBM",6,33,234.52
"eir_20","IBM",7,33,234.42
"eir_20","IBM",8,33,251.03
"eir_20","IBM",9,33,234.53
"eir_20","IBM",10,33,234.31
"nets","IBM",1,36,138
"irs","IBM",1,36,121.47
"pev","IBM",1,36,119.17
"treatment","IBM",1,36,120.15
"nets","IBM",2,36,140.48
"irs","IBM",2,36,123.63
"pev","IBM",2,36,120.83
"treatment","IBM",2,36,138.2
"nets","IBM",3,36,157.14
"irs","IBM",3,36,140.1
"pev","IBM",3,36,234.69
"treatment","IBM",3,36,236.79
"nets","IBM",4,36,251.19
"irs","IBM",4,36,236.93
"pev","IBM",4,36,235.37
"treatment","IBM",4,36,236.14
"nets","IBM",5,36,253.64
"irs","IBM",5,36,232.75
"pev","IBM",5,36,230.22
"treatment","IBM",5,36,231.71
"nets","IBM",6,36,227.25
"irs","IBM",6,36,214.59
"pev","IBM",6,36,213.26
"treatment","IBM",6,36,213.37
"nets","IBM",7,36,222.19
"irs","IBM",7,36,211.45
"pev","IBM",7,36,228.73
"treatment","IBM",7,36,228.86
"nets","IBM",8,36,215.18
"irs","IBM",8,36,228.17
"pev","IBM",8,36,147.44
"treatment","IBM",8,36,147.81
"nets","IBM",9,36,157.75
"irs","IBM",9,36,145.68
"pev","IBM",9,36,142.31
"treatment","IBM",9,36,139.97
"nets","IBM",10,36,146.8
"irs","IBM",10,36,148.17
"pev","IBM",10,36,145.47
"treatment","IBM",10,36,138.01
"eir_1","IBM",1,33,86.1
"eir_3","IBM",1,33,91.1899999999999
"eir_10","IBM",1,33,112.45
"eir_50","IBM",1,33,134.91
"eir_120","IBM",1,33,151.29
"seasonal","IBM",1,33,116.2
"smc","IBM",1,33,133.94
"eir_1","IBM",2,33,116.5
"eir_3","IBM",2,33,129.86
"eir_10","IBM",2,33,156.26
"eir_50","IBM",2,33,218.16
"eir_120","IBM",2,33,237.11
"seasonal","IBM",2,33,202.28
"smc","IBM",2,33,198.92
"eir_1","IBM",3,33,178.79
"eir_3","IBM",3,33,186.84
"eir_10","IBM",3,33,206.24
"eir_50","IBM",3,33,225.83
"eir_120","IBM",3,33,236.5
"seasonal","IBM",3,33,200.3
"smc","IBM",3,33,402.68
"eir_1","IBM",4,33,382.63
"eir_3","IBM",4,33,408.09
"eir_10","IBM",4,33,465.47
"eir_50","IBM",4,33,534.92
"eir_120","IBM",4,33,595
"seasonal","IBM",4,33,541.51
"smc","IBM",4,33,558.33
"eir_1","IBM",5,33,556.96
"eir_3","IBM",5,33,562.52
"eir_10","IBM",5,33,347.72
"eir_50","IBM",5,33,359.96
"eir_120","IBM",5,33,344.57
"seasonal","IBM",5,33,277.57
"smc","IBM",5,33,213.95
"eir_1","IBM",6,33,170.11
"eir_3","IBM",6,33,160.61
"eir_10","IBM",6,33,155.94
"eir_50","IBM",6,33,160.12
"eir_120","IBM",6,33,163.8
"seasonal","IBM",6,33,115.92
"smc","IBM",6,33,108.14
"eir_1","IBM",7,33,94.3900000000001
"eir_3","IBM",7,33,100.86
"eir_10","IBM",7,33,109.48
"eir_50","IBM",7,33,119.58
"eir_120","IBM",7,33,120.57
"seasonal","IBM",7,33,101.61
"smc","IBM",7,33,99.9099999999999
"eir_1","IBM",8,33,89.3899999999999
"eir_3","IBM",8,33,134.14
"eir_10","IBM",8,33,171.57
"eir_50","IBM",8,33,210.97
"eir_120","IBM",8,33,214.97
"seasonal","IBM",8,33,198.84
"smc","IBM",8,33,195.53
"eir_1","IBM",9,33,184.31
"eir_3","IBM",9,33,185.15
"eir_10","IBM",9,33,200.43
"eir_50","IBM",9,33,206.88
"eir_120","IBM",9,33,168.16
"seasonal","IBM",9,33,122.65
"smc","IBM",9,33,89.1599999999999
"eir_1","IBM",10,33,79.69
"eir_3","IBM",10,33,85.1200000000003
"eir_10","IBM",10,33,92.3699999999999
"eir_50","IBM",10,33,98.5700000000002
"eir_120","IBM",10,33,100.47
"seasonal","IBM",10,33,78.3899999999999
"smc","IBM",10,33,75.5700000000002
"demography","blink",0,33,5.04
"demography","IBM",1,33,395.97
"demography","IBM",2,33,407.88
"demography","IBM",3,33,412.95
"demography","IBM",4,33,407.56
"demography","IBM",5,33,395.53
"demography","IBM",6,33,412.7
"demography","IBM",7,33,406.94
"demography","IBM",8,33,396.05
"demography","IBM",9,33,412.53
"demography","IBM",10,33,396.45
